ants,steps,time_s,success,food_removed,food_collected,total_food,removed_pct,returned_pct,run
1,10000,1.8210580348968506,False,25,25,100,25.0,25.0,1
1,10000,1.8261704444885254,False,25,25,100,25.0,25.0,2
1,10000,1.7414615154266357,False,25,25,100,25.0,25.0,3
1,10000,1.768136739730835,False,25,25,100,25.0,25.0,4
1,10000,1.9744398593902588,False,25,25,100,25.0,25.0,5
1,10000,1.8772273063659668,False,25,25,100,25.0,25.0,6
1,10000,1.93117356300354,False,25,25,100,25.0,25.0,7
1,10000,1.9142825603485107,False,25,25,100,25.0,25.0,8
1,10000,2.0842134952545166,False,25,25,100,25.0,25.0,9
1,10000,2.4550085067749023,False,25,25,100,25.0,25.0,10
20,1326,6.735504388809204,True,75,70,100,75.0,70.0,1
20,1512,6.221207141876221,True,75,69,100,75.0,69.0,2
20,1688,6.566268444061279,True,75,72,100,75.0,72.0,3
20,1910,7.566158056259155,True,75,72,100,75.0,72.0,4
20,1710,7.873294115066528,True,75,70,100,75.0,70.0,5
20,1470,6.4558632373809814,True,75,71,100,75.0,71.0,6
20,1431,5.920542001724243,True,76,72,100,76.0,72.0,7
20,1183,4.979499101638794,True,75,70,100,75.0,70.0,8
20,2163,8.08911943435669,True,75,71,100,75.0,71.0,9
20,2162,8.481535196304321,True,75,71,100,75.0,71.0,10
40,1204,10.615696430206299,True,75,66,100,75.0,66.0,1
40,1067,9.309699296951294,True,75,66,100,75.0,66.0,2
40,1383,12.310665845870972,True,75,71,100,75.0,71.0,3
40,907,8.147270917892456,True,75,62,100,75.0,62.0,4
40,966,8.629770278930664,True,75,71,100,75.0,71.0,5
40,1181,10.269789934158325,True,75,63,100,75.0,63.0,6
40,887,9.638786315917969,True,75,69,100,75.0,69.0,7
40,1579,14.306083679199219,True,75,69,100,75.0,69.0,8
40,1272,11.400027751922607,True,75,58,100,75.0,58.0,9
40,1124,9.787275552749634,True,75,70,100,75.0,70.0,10
60,821,11.771626234054565,True,75,67,100,75.0,67.0,1
60,781,11.596344232559204,True,75,68,100,75.0,68.0,2
60,1002,14.444797039031982,True,75,60,100,75.0,60.0,3
60,985,14.351964712142944,True,75,69,100,75.0,69.0,4
60,750,11.186532020568848,True,75,69,100,75.0,69.0,5
60,939,14.316720485687256,True,75,67,100,75.0,67.0,6
60,795,12.216730833053589,True,75,70,100,75.0,70.0,7
60,803,11.830620765686035,True,75,62,100,75.0,62.0,8
60,783,11.425594568252563,True,75,66,100,75.0,66.0,9
60,976,14.136352062225342,True,75,66,100,75.0,66.0,10
80,720,15.867234468460083,True,75,67,100,75.0,67.0,1
80,1061,23.27442193031311,True,75,68,100,75.0,68.0,2
80,904,20.136343955993652,True,75,65,100,75.0,65.0,3
80,937,19.279407024383545,True,75,69,100,75.0,69.0,4
80,980,20.060023307800293,True,75,63,100,75.0,63.0,5
80,741,16.482725143432617,True,75,59,100,75.0,59.0,6
80,995,21.153853178024292,True,75,67,100,75.0,67.0,7
80,1039,22.3239643573761,True,75,68,100,75.0,68.0,8
80,838,17.797982931137085,True,75,66,100,75.0,66.0,9
