ants,runs,successes,steps_mean,steps_std,time_mean_s,time_std_s
1,10,0,10000,0.0,300,0.0
20,10,10,1655.5,336.67070954668253,6.888899111747742,1.0928661977737846
40,10,10,1157,217.6235281397671,10.441506600379943,1.83504694301111
60,10,10,863.5,99.23513042824658,12.727728295326234,1.3915022131084878
80,10,10,916.7,117.13814256869726,19.577081084251404,2.377508561305496
100,10,10,714,103.80430305788548,22.34452383518219,3.4382231530485
120,10,10,630.7,109.48876147298813,24.433989477157592,4.057493518244177
140,10,10,573.9,66.10337022841993,27.875531125068665,3.2929445367947157
160,10,10,573.9,78.20691927331124,34.77563991546631,3.980501979719976
180,10,10,552.3,61.43117196414935,40.48856029510498,4.381892283041105
200,10,10,514.6,52.27108824834879,42.854490303993224,4.4680879379961915
