evaporation_rate,ants,steps,time_s,success,food_removed,food_collected,total_food,removed_pct,returned_pct,run
0.5,70,1102,19.653980016708374,True,75,63,100,75.0,63.0,1
0.5,70,1033,19.380391836166382,True,75,63,100,75.0,63.0,2
0.5,70,1201,20.847359895706177,True,75,71,100,75.0,71.0,3
0.5,70,1188,20.876157522201538,True,76,64,100,76.0,64.0,4
0.5,70,1172,19.95253872871399,True,75,73,100,75.0,73.0,5
0.5,70,1010,17.816504955291748,True,75,67,100,75.0,67.0,6
0.5,70,1215,21.630573272705078,True,75,64,100,75.0,64.0,7
0.5,70,1254,22.838619470596313,True,75,65,100,75.0,65.0,8
0.5,70,998,18.22183346748352,True,75,64,100,75.0,64.0,9
0.5,70,1008,18.43140196800232,True,75,63,100,75.0,63.0,10
0.526263,70,1210,21.195374011993408,True,75,71,100,75.0,71.0,1
0.526263,70,1125,19.211748123168945,True,75,64,100,75.0,64.0,2
0.526263,70,1106,19.133623361587524,True,75,62,100,75.0,62.0,3
0.526263,70,1029,17.81679129600525,True,75,63,100,75.0,63.0,4
0.526263,70,1161,20.259589672088623,True,75,68,100,75.0,68.0,5
0.526263,70,1114,19.2315034866333,True,75,65,100,75.0,65.0,6
0.526263,70,1096,18.613126039505005,True,75,70,100,75.0,70.0,7
0.526263,70,1203,20.60283899307251,True,75,70,100,75.0,70.0,8
0.526263,70,981,17.110103130340576,True,75,63,100,75.0,63.0,9
0.526263,70,1185,20.956740617752075,True,75,66,100,75.0,66.0,10
0.552526,70,1134,19.471672296524048,True,75,62,100,75.0,62.0,1
0.552526,70,1037,18.24530267715454,True,75,68,100,75.0,68.0,2
0.552526,70,936,16.17187786102295,True,75,65,100,75.0,65.0,3
0.552526,70,1228,21.797558069229126,True,75,67,100,75.0,67.0,4
0.552526,70,1098,18.906227111816406,True,75,64,100,75.0,64.0,5
0.552526,70,1013,17.501407146453857,True,75,70,100,75.0,70.0,6
0.552526,70,1182,20.361910343170166,True,75,63,100,75.0,63.0,7
0.552526,70,1006,17.626521348953247,True,75,66,100,75.0,66.0,8
0.552526,70,1185,20.634377002716064,True,75,72,100,75.0,72.0,9
0.552526,70,1205,20.306923389434814,True,75,65,100,75.0,65.0,10
0.578789,70,1218,20.781920433044434,True,75,73,100,75.0,73.0,1
0.578789,70,1265,22.806211948394775,True,75,61,100,75.0,61.0,2
0.578789,70,1153,20.37665104866028,True,75,62,100,75.0,62.0,3
0.578789,70,1166,20.816622972488403,True,75,73,100,75.0,73.0,4
0.578789,70,1434,24.47835373878479,True,75,72,100,75.0,72.0,5
0.578789,70,1101,18.84063982963562,True,75,65,100,75.0,65.0,6
0.578789,70,977,16.58087158203125,True,75,63,100,75.0,63.0,7
0.578789,70,966,18.1911141872406,True,75,58,100,75.0,58.0,8
0.578789,70,1178,20.388021230697632,True,75,64,100,75.0,64.0,9
0.578789,70,1213,20.97274398803711,True,75,68,100,75.0,68.0,10
0.605053,70,1099,18.64686393737793,True,75,66,100,75.0,66.0,1
0.605053,70,1208,21.32926344871521,True,75,67,100,75.0,67.0,2
0.605053,70,1078,19.2869975566864,True,75,65,100,75.0,65.0,3
0.605053,70,1108,19.090483903884888,True,75,70,100,75.0,70.0,4
0.605053,70,1172,20.58997130393982,True,75,65,100,75.0,65.0,5
0.605053,70,1094,20.88821792602539,True,75,67,100,75.0,67.0,6
0.605053,70,1255,22.819401502609253,True,75,69,100,75.0,69.0,7
0.605053,70,1151,22.24040198326111,True,75,67,100,75.0,67.0,8
0.605053,70,990,18.78316831588745,True,76,64,100,76.0,64.0,9
0.605053,70,1203,21.934178113937378,True,75,68,100,75.0,68.0,10
0.631316,70,1148,21.412101984024048,True,75,66,100,75.0,66.0,1
0.631316,70,1378,23.478180646896362,True,75,67,100,75.0,67.0,2
0.631316,70,1173,20.58251428604126,True,75,69,100,75.0,69.0,3
0.631316,70,1138,19.985520601272583,True,75,68,100,75.0,68.0,4
0.631316,70,1093,19.59841823577881,True,75,63,100,75.0,63.0,5
0.631316,70,1033,18.767855167388916,True,75,62,100,75.0,62.0,6
0.631316,70,1338,22.83987045288086,True,75,65,100,75.0,65.0,7
0.631316,70,1035,19.402916193008423,True,75,68,100,75.0,68.0,8
0.631316,70,1316,23.26531410217285,True,75,69,100,75.0,69.0,9
0.631316,70,1112,19.658496141433716,True,75,69,100,75.0,69.0,10
0.657579,70,1194,21.987900733947754,True,76,69,100,76.0,69.0,1
0.657579,70,1353,25.680076837539673,True,75,65,100,75.0,65.0,2
0.657579,70,1187,21.165162324905396,True,75,69,100,75.0,69.0,3
0.657579,70,1089,19.12103819847107,True,75,68,100,75.0,68.0,4
0.657579,70,1079,21.16930603981018,True,75,68,100,75.0,68.0,5
0.657579,70,1101,21.847413063049316,True,75,61,100,75.0,61.0,6
0.657579,70,966,18.56588864326477,True,75,66,100,75.0,66.0,7
0.657579,70,978,21.7899067401886,True,76,64,100,76.0,64.0,8
0.657579,70,1179,20.97104787826538,True,75,64,100,75.0,64.0,9
0.657579,70,1066,18.845313787460327,True,75,67,100,75.0,67.0,10
0.683842,70,1215,21.079665184020996,True,75,61,100,75.0,61.0,1
0.683842,70,1171,20.46848154067993,True,75,69,100,75.0,69.0,2
0.683842,70,1119,19.89304518699646,True,75,68,100,75.0,68.0,3
0.683842,70,989,18.0558340549469,True,75,63,100,75.0,63.0,4
0.683842,70,1234,23.17218017578125,True,75,63,100,75.0,63.0,5
0.683842,70,957,23.428720712661743,True,75,66,100,75.0,66.0,6
0.683842,70,1187,30.50700354576111,True,75,64,100,75.0,64.0,7
0.683842,70,1353,35.51889443397522,True,75,68,100,75.0,68.0,8
0.683842,70,1093,27.994165182113647,True,75,67,100,75.0,67.0,9
0.683842,70,1031,25.87216091156006,True,75,68,100,75.0,68.0,10
0.710105,70,1243,30.698631048202515,True,75,62,100,75.0,62.0,1
0.710105,70,1349,31.31461191177368,True,75,70,100,75.0,70.0,2
0.710105,70,1269,22.229389905929565,True,75,63,100,75.0,63.0,3
0.710105,70,964,16.828288316726685,True,75,65,100,75.0,65.0,4
0.710105,70,1111,19.36190438270569,True,75,63,100,75.0,63.0,5
0.710105,70,1167,19.98180890083313,True,75,67,100,75.0,67.0,6
0.710105,70,1323,22.477402687072754,True,75,70,100,75.0,70.0,7
0.710105,70,1192,20.419400215148926,True,75,68,100,75.0,68.0,8
0.710105,70,1034,19.081907749176025,True,75,66,100,75.0,66.0,9
0.710105,70,1056,19.69487500190735,True,75,62,100,75.0,62.0,10
0.736368,70,1038,21.837591409683228,True,75,69,100,75.0,69.0,1
0.736368,70,1157,21.076629161834717,True,75,69,100,75.0,69.0,2
0.736368,70,994,17.117326259613037,True,75,71,100,75.0,71.0,3
0.736368,70,1130,19.32106065750122,True,75,69,100,75.0,69.0,4
0.736368,70,1283,21.591108798980713,True,75,73,100,75.0,73.0,5
0.736368,70,1118,19.233651638031006,True,75,64,100,75.0,64.0,6
0.736368,70,1098,18.947072982788086,True,76,60,100,76.0,60.0,7
0.736368,70,1407,24.41297745704651,True,75,70,100,75.0,70.0,8
0.736368,70,1164,20.061785459518433,True,75,69,100,75.0,69.0,9
0.736368,70,1195,23.21390700340271,True,75,71,100,75.0,71.0,10
0.762632,70,1164,24.307590007781982,True,75,64,100,75.0,64.0,1
0.762632,70,1037,18.746297359466553,True,75,58,100,75.0,58.0,2
0.762632,70,873,17.25950050354004,True,75,67,100,75.0,67.0,3
0.762632,70,1239,21.716275691986084,True,75,71,100,75.0,71.0,4
0.762632,70,829,14.535840511322021,True,75,70,100,75.0,70.0,5
0.762632,70,1150,20.194406509399414,True,76,65,100,76.0,65.0,6
0.762632,70,1115,19.592057943344116,True,75,67,100,75.0,67.0,7
0.762632,70,1223,23.353148221969604,True,75,63,100,75.0,63.0,8
0.762632,70,1062,20.06494116783142,True,76,67,100,76.0,67.0,9
0.762632,70,1165,20.286860704421997,True,75,68,100,75.0,68.0,10
0.788895,70,1127,19.41819667816162,True,75,65,100,75.0,65.0,1
0.788895,70,1199,20.471450567245483,True,77,68,100,77.0,68.0,2
0.788895,70,945,16.266087532043457,True,75,68,100,75.0,68.0,3
0.788895,70,1081,18.730738162994385,True,75,68,100,75.0,68.0,4
0.788895,70,995,16.875104427337646,True,75,69,100,75.0,69.0,5
0.788895,70,1061,18.275659561157227,True,75,71,100,75.0,71.0,6
0.788895,70,1000,17.17655849456787,True,75,66,100,75.0,66.0,7
0.788895,70,1296,22.573472261428833,True,75,66,100,75.0,66.0,8
0.788895,70,1235,22.436395406723022,True,75,69,100,75.0,69.0,9
0.788895,70,941,16.522839069366455,True,76,64,100,76.0,64.0,10
0.815158,70,1075,18.43765878677368,True,75,65,100,75.0,65.0,1
0.815158,70,1139,19.835832595825195,True,75,69,100,75.0,69.0,2
0.815158,70,1164,20.140177011489868,True,75,64,100,75.0,64.0,3
0.815158,70,1085,19.06172275543213,True,75,63,100,75.0,63.0,4
0.815158,70,1192,21.88704824447632,True,75,70,100,75.0,70.0,5
0.815158,70,1166,26.900214910507202,True,75,64,100,75.0,64.0,6
